Algorithm,Size,Order,Time (ms)
InsertionSort,100,random,0
InsertionSort,100,ascending,0
InsertionSort,100,descending,0
InsertionSort,500,random,1
InsertionSort,500,ascending,0
InsertionSort,500,descending,0
InsertionSort,1000,random,0
InsertionSort,1000,ascending,0
InsertionSort,1000,descending,0
InsertionSort,5000,random,9
InsertionSort,5000,ascending,0
InsertionSort,5000,descending,14
InsertionSort,20000,random,114
InsertionSort,20000,ascending,0
InsertionSort,20000,descending,69
InsertionSort,50000,random,282
InsertionSort,50000,ascending,0
InsertionSort,50000,descending,371
SelectionSort,100,random,0
SelectionSort,100,ascending,0
SelectionSort,100,descending,0
SelectionSort,500,random,1
SelectionSort,500,ascending,0
SelectionSort,500,descending,0
SelectionSort,1000,random,0
SelectionSort,1000,ascending,0
SelectionSort,1000,descending,0
SelectionSort,5000,random,9
SelectionSort,5000,ascending,9
SelectionSort,5000,descending,15
SelectionSort,20000,random,86
SelectionSort,20000,ascending,87
SelectionSort,20000,descending,343
SelectionSort,50000,random,566
SelectionSort,50000,ascending,546
SelectionSort,50000,descending,2003
MergeSort,100,random,0
MergeSort,100,ascending,0
MergeSort,100,descending,0
MergeSort,500,random,0
MergeSort,500,ascending,0
MergeSort,500,descending,0
MergeSort,1000,random,0
MergeSort,1000,ascending,0
MergeSort,1000,descending,0
MergeSort,5000,random,0
MergeSort,5000,ascending,0
MergeSort,5000,descending,0
MergeSort,20000,random,3
MergeSort,20000,ascending,8
MergeSort,20000,descending,15
MergeSort,50000,random,14
MergeSort,50000,ascending,2
MergeSort,50000,descending,1
BubbleSort,100,random,0
BubbleSort,100,ascending,0
BubbleSort,100,descending,0
BubbleSort,500,random,2
BubbleSort,500,ascending,0
BubbleSort,500,descending,0
BubbleSort,1000,random,1
BubbleSort,1000,ascending,0
BubbleSort,1000,descending,1
BubbleSort,5000,random,22
BubbleSort,5000,ascending,0
BubbleSort,5000,descending,13
BubbleSort,20000,random,456
BubbleSort,20000,ascending,0
BubbleSort,20000,descending,197
BubbleSort,50000,random,2960
BubbleSort,50000,ascending,0
BubbleSort,50000,descending,1263
QuickSort,100,random,0
QuickSort,100,ascending,0
QuickSort,100,descending,0
QuickSort,500,random,0
QuickSort,500,ascending,0
QuickSort,500,descending,0
QuickSort,1000,random,0
QuickSort,1000,ascending,1
QuickSort,1000,descending,1
QuickSort,5000,random,0
QuickSort,5000,ascending,7
QuickSort,5000,descending,7
QuickSort,20000,random,1
QuickSort,20000,ascending,117
QuickSort,20000,descending,101
QuickSort,50000,random,3
QuickSort,50000,ascending,551
QuickSort,50000,descending,594
